artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-21,rarity,text,toughness,type
Aaron Miller,3,,{2}{W},Haazda Officer,3,0.25,common,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.",2,Creature — Human Soldier
Aaron Miller,5,,{3}{G}{G},Shared Summons,,0.5,rare,"Search your library for up to two creature cards with different names, reveal them, put them into your hand, then shuffle your library.",,Instant
Aaron Miller,1,,{B},Dreadmalkin,1,0.2,uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
{2}{B}, Sacrifice another creature or planeswalker: Put two +1/+1 counters on Dreadmalkin.",1,Creature — Zombie Cat
Aaron Miller,3,,{3},Iron Bully,1,0.15,common,"Menace (This creature can't be blocked except by two or more creatures.)
When Iron Bully enters the battlefield, put a +1/+1 counter on target creature.",1,Artifact Creature — Golem
Aaron Miller,5,,{4}{U},Totally Lost,,0.14,common,Put target nonland permanent on top of its owner's library.,,Instant
Adam Paquette,0,,,Bloodfell Caves,,0.16,common,"Bloodfell Caves enters the battlefield tapped.
When Bloodfell Caves enters the battlefield, you gain 1 life.
{T}: Add {B} or {R}.",,Land
Adam Paquette,6,,{4}{U}{U},Flood of Tears,,1.18,rare,"Return all nonland permanents to their owners' hands. If you return four or more nontoken permanents you control this way, you may put a permanent card from your hand onto the battlefield.",,Sorcery
Adam Paquette,0,,,Forest,,0.15,common,({T}: Add {G}.),,Basic Land — Forest
Adam Paquette,0,,,Mountain,,0.17,common,({T}: Add {R}.),,Basic Land — Mountain
Adam Paquette,0,,,Temple of Epiphany,,1.92,rare,"Temple of Epiphany enters the battlefield tapped.
When Temple of Epiphany enters the battlefield, scry 1.
{T}: Add {U} or {R}.",,Land
Adam Paquette,0,,,Temple of Silence,,1.71,rare,"Temple of Silence enters the battlefield tapped.
When Temple of Silence enters the battlefield, scry 1.
{T}: Add {W} or {B}.",,Land
Adam Paquette,4,,{3}{R},Demolish,,0.15,common,Destroy target artifact or land.,,Sorcery
