artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-14,rarity,text,toughness,type,,
Aaron Miller,2,,{1}{R},Keldon Warcaller,2,0.15,common,"Whenever Keldon Warcaller attacks, put a lore counter on target Saga you control.",2,Creature — Human Warrior,,
Aaron Miller,5,,{3}{R}{R},Siege-Gang Commander,2,0.92,rare,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",2,Creature — Goblin,,
Aaron Miller,2,,{2},Urza's Tome,,0.22,uncommon,"{3}, {T}: Draw a card. Then discard a card unless you exile a historic card from your graveyard. (Artifacts, legendaries, and Sagas are historic.)",,Artifact,,
Aaron Miller,3,,{3},Boros Locket,,0.15,common,"{T}: Add {R} or {W}.
{R/W}{R/W}{R/W}{R/W}, {T}, Sacrifice Boros Locket: Draw two cards.",,Artifact,,
Aaron Miller,5,,{4}{G},Kraul Foragers,4,0.15,common,"Undergrowth — When Kraul Foragers enters the battlefield, you gain 1 life for each creature card in your graveyard.",4,Creature — Insect Scout,,
Aaron Miller,3,,{2}{U},Leapfrog,3,0.14,common,Leapfrog has flying as long as you've cast an instant or sorcery spell this turn.,1,Creature — Frog,,
Aaron Miller,3,,{2}{B},Never Happened,,0.15,common,Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it.,,Sorcery,,
Aaron Miller,6,,{4}{R}{W},Swathcutter Giant,5,0.2,uncommon,"Vigilance
Whenever Swathcutter Giant attacks, it deals 1 damage to each creature defending player controls.",5,Creature — Giant Soldier,,
Aaron Miller,1,,{1},Prying Blade,,0.18,common,"Equipped creature gets +1/+0.
Whenever equipped creature deals combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment,,
Aaron Miller,3,,{2}{B},Ruthless Knave,3,0.25,uncommon,"{2}{B}, Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Sacrifice three Treasures: Draw a card.",2,Creature — Orc Pirate,,
Aaron Miller,1,,{B},Skittering Heartstopper,1,0.15,common,{B}: Skittering Heartstopper gains deathtouch until end of turn.,2,Creature — Insect,,
Aaron Miller,6,,{4}{R}{R},Sun-Crowned Hunters,5,0.18,common,"Enrage — Whenever Sun-Crowned Hunters is dealt damage, it deals 3 damage to target opponent or planeswalker.",4,Creature — Dinosaur,,
Aaron Miller,2,,{2},Amulet of Safekeeping,,0.46,rare,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.
Creature tokens get -1/-0.",,Artifact,,
Aaron Miller,1,,{W},Leonin Vanguard,1,0.23,uncommon,"At the beginning of combat on your turn, if you control three or more creatures, Leonin Vanguard gets +1/+1 until end of turn and you gain 1 life.",1,Creature — Cat Soldier,,
Aaron Miller,3,,{3},Transmogrifying Wand,,0.47,rare,"Transmogrifying Wand enters the battlefield with three charge counters on it.
{1}, {T}, Remove a charge counter from Transmogrifying Wand: Destroy target creature. Its controller creates a 2/4 white Ox creature token. Activate this ability only any time you could cast a sorcery.",,Artifact,,
Aaron Miller,3,,{2}{R},Burning-Tree Vandal,2,0.14,common,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card.",1,Creature — Human Rogue,,
Aaron Miller,3,,{2}{W},Haazda Officer,3,0.14,common,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.",2,Creature — Human Soldier,,
Aaron Miller,4,,{3}{R},Rubble Reading,,0.15,common,Destroy target land. Scry 2.,,Sorcery,,
Aaron Miller,2,,{1}{W},Tithe Taker,2,2.47,rare,"During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",1,Creature — Human Soldier,,
